staff_id,first_name,last_name,role_id,department_id,years_of_experience,total_score
44,Kugonza,Anderson,Assistant Lecturer,Department of Pharmarcy,1,79.84
45,Ategyeka,Johnson,Assistant Lecturer,Department of Pharmarcy,19,61.85
46,Kabonesa,Williams,Teaching Assistant,Department of Pharmarcy,28,42.89
47,Kugonza,Davis,Teaching Assistant,Department of Pharmarcy,26,47.89
48,Ainomugisha,Smith,Professor,Department of Nursing,24,98.86
49,Mutanoga,Anderson,Professor,Department of Nursing,36,73.79
50,Ainomugisha,Davis,Associate Professor,Department of Nursing,37,53.35
51,Abwooli,Williams,Associate Professor,Department of Nursing,17,41.58
52,Ategyeka,Wilson,Senior Lecturer,Department of Nursing,13,79.95
53,Ategyeka,Wilson,Senior Lecturer,Department of Nursing,8,54.12
54,Ninsiima,Martinez,Lecturer,Department of Nursing,31,70.78
55,Kamaani,Anderson,Lecturer,Department of Nursing,16,88.77
56,Ategyeka,Williams,Assistant Lecturer,Department of Nursing,18,66.72
57,Abwooli,Jones,Assistant Lecturer,Department of Nursing,16,74.8
58,Busingye,Rodriguez,Teaching Assistant,Department of Nursing,11,57.74
59,Akanyoreka,Brown,Teaching Assistant,Department of Nursing,6,41.87
60,Tumwijuke,Jones,Professor,Department of Microbiology,16,73.94
61,Busingye,Rodriguez,Professor,Department of Microbiology,19,59.13
62,Abwooli,Brown,Associate Professor,Department of Microbiology,18,67.39
63,Tibendekezo,Williams,Associate Professor,Department of Microbiology,37,92.71
64,Kamaani,Wilson,Senior Lecturer,Department of Microbiology,39,77.93
65,Busingye,Smith,Senior Lecturer,Department of Microbiology,4,41.18
66,Ategyeka,Davis,Lecturer,Department of Microbiology,4,70.02
67,Akanyoreka,Smith,Lecturer,Department of Microbiology,8,64.42
68,Abwooli,Williams,Assistant Lecturer,Department of Microbiology,33,42.5
69,Tumwijuke,Miller,Assistant Lecturer,Department of Microbiology,14,96.79
70,Kugonza,Rodriguez,Teaching Assistant,Department of Microbiology,9,73.13
71,Tumwijuke,Martinez,Teaching Assistant,Department of Microbiology,16,97.73
72,Ninsiima,Davis,Professor,Department of Accounting and Finance,9,98.87
73,Ategyeka,Martinez,Professor,Department of Accounting and Finance,4,53.86
74,Ategyeka,Anderson,Associate Professor,Department of Accounting and Finance,8,95.8
75,Mutanoga,Wilson,Associate Professor,Department of Accounting and Finance,3,67.59
76,Ninsiima,Rodriguez,Senior Lecturer,Department of Accounting and Finance,37,85.98
77,Busingye,Davis,Senior Lecturer,Department of Accounting and Finance,30,76.14
78,Mutanoga,Jones,Lecturer,Department of Accounting and Finance,8,51.0
79,Akanyoreka,Miller,Lecturer,Department of Accounting and Finance,39,50.64
80,Busingye,Brown,Assistant Lecturer,Department of Accounting and Finance,25,55.31
81,Ategyeka,Garcia,Assistant Lecturer,Department of Accounting and Finance,35,58.01
82,Tibendekezo,Wilson,Teaching Assistant,Department of Accounting and Finance,26,96.5
83,Abwooli,Martinez,Teaching Assistant,Department of Accounting and Finance,40,44.47
84,Akanyoreka,Jones,Professor,Department of Economics and Entreprenuership,39,91.2
85,Busingye,Johnson,Professor,Department of Economics and Entreprenuership,33,49.23
86,Tumwijuke,Martinez,Associate Professor,Department of Economics and Entreprenuership,23,71.74
87,Ninsiima,Jones,Associate Professor,Department of Economics and Entreprenuership,15,84.0
88,Mutanoga,Johnson,Senior Lecturer,Department of Economics and Entreprenuership,20,72.87
89,Akanyoreka,Anderson,Senior Lecturer,Department of Economics and Entreprenuership,9,40.75
90,Kugonza,Rodriguez,Lecturer,Department of Economics and Entreprenuership,39,91.77
91,Busingye,Garcia,Lecturer,Department of Economics and Entreprenuership,13,65.09
92,Busingye,Miller,Assistant Lecturer,Department of Economics and Entreprenuership,33,96.85
93,Busingye,Brown,Assistant Lecturer,Department of Economics and Entreprenuership,31,82.25
94,Kugonza,Smith,Teaching Assistant,Department of Economics and Entreprenuership,18,99.64
95,Mutanoga,Anderson,Teaching Assistant,Department of Economics and Entreprenuership,16,44.75
96,Kugonza,Wilson,Professor,Department of Human Resource Management,24,73.42
97,Abwooli,Davis,Professor,Department of Human Resource Management,23,41.61
98,Abwooli,Brown,Associate Professor,Department of Human Resource Management,36,44.94
99,Kugonza,Martinez,Associate Professor,Department of Human Resource Management,20,62.65
100,Ategyeka,Jones,Senior Lecturer,Department of Human Resource Management,17,84.13
101,Tumwijuke,Miller,Senior Lecturer,Department of Human Resource Management,22,94.85
102,Mutanoga,Johnson,Lecturer,Department of Human Resource Management,7,62.55
103,Akanyoreka,Anderson,Lecturer,Department of Human Resource Management,29,85.92
104,Tumwijuke,Johnson,Assistant Lecturer,Department of Human Resource Management,35,40.46
105,Tumwijuke,Miller,Assistant Lecturer,Department of Human Resource Management,10,97.49
106,Akanyoreka,Smith,Teaching Assistant,Department of Human Resource Management,17,87.42
107,Mutanoga,Brown,Teaching Assistant,Department of Human Resource Management,30,91.67
