staff_id,first_name,last_name,scholar_type,role_id,department_id,years_of_experience,performance_score
87,Kato,Anderson,clinical,Associate Professor,Department of Economics and entreprenuership,19,199
88,Kigongo,Clark,non-clinical,Associate Professor,Department of Economics and entreprenuership,14,182
89,Kasumba,Morris,clinical,Senior Lecturer,Department of Economics and entreprenuership,15,195
90,Byarugaba,Taylor,non-clinical,Senior Lecturer,Department of Economics and entreprenuership,13,183
91,Kabengele,Davis,clinical,Lecturer,Department of Economics and entreprenuership,18,198
92,Kato,Roberts,non-clinical,Lecturer,Department of Economics and entreprenuership,17,197
93,Mugisha,Adams,clinical,Assistant Lecturer,Department of Economics and entreprenuership,20,200
94,Amooti,King,non-clinical,Assistant Lecturer,Department of Economics and entreprenuership,12,188
95,Turyahikayo,Wilson,clinical,Teaching assistant,Department of Economics and entreprenuership,15,195
96,Kabengele,Harris,non-clinical,Teaching assistant,Department of Economics and entreprenuership,14,194
97,Kahindo,Smith,clinical,Professor,Department of Human Resource Management,16,196
98,Byarugaba,Davis,non-clinical,Professor,Department of Human Resource Management,18,198
99,Rukundo,Miller,clinical,Associate Professor,Department of Human Resource Management,19,199
100,Tushabe,Brown,non-clinical,Associate Professor,Department of Human Resource Management,15,195
101,Kato,Wilson,clinical,Senior Lecturer,Department of Human Resource Management,17,197
102,Mugisha,Taylor,non-clinical,Senior Lecturer,Department of Human Resource Management,14,194
103,Rugumayo,Harrison,clinical,Lecturer,Department of Human Resource Management,12,192
104,Kasirye,Moore,non-clinical,Lecturer,Department of Human Resource Management,16,196
105,Kiryowa,Harris,clinical,Assistant Lecturer,Department of Human Resource Management,13,193
106,Musinguzi,Evans,non-clinical,Assistant Lecturer,Department of Human Resource Management,14,194
107,Amooti,Adams,clinical,Teaching assistant,Department of Human Resource Management,15,195
108,Kasumba,Wilson,non-clinical,Teaching assistant,Department of Human Resource Management,12,192
109,Kasumba,Johnson,clinical,Professor,Department of Chemistry,18,198
110,Turyahikayo,Adams,non-clinical,Professor,Department of Chemistry,17,197
111,Kanyonyi,Morris,clinical,Associate Professor,Department of Chemistry,15,195
112,Musinguzi,Smith,non-clinical,Associate Professor,Department of Chemistry,19,199
113,Kato,Brown,clinical,Senior Lecturer,Department of Chemistry,14,194
114,Kabengele,Taylor,non-clinical,Senior Lecturer,Department of Chemistry,16,196
115,Amooti,King,clinical,Lecturer,Department of Chemistry,12,192
116,Tushabe,Adams,non-clinical,Lecturer,Department of Chemistry,13,193
117,Kisembo,Johnson,clinical,Assistant Lecturer,Department of Chemistry,14,194
118,Byarugaba,Brown,non-clinical,Assistant Lecturer,Department of Chemistry,15,195
119,Kiryowa,Davis,clinical,Teaching assistant,Department of Chemistry,16,196
120,Turyahikayo,Harris,non-clinical,Teaching assistant,Department of Chemistry,11,191
121,Bashir,Johnson,clinical,Professor,Department of Biology,15,195
122,Musinguzi,Smith,non-clinical,Professor,Department of Biology,14,194
123,Kanyonyi,Brown,clinical,Associate Professor,Department of Biology,18,198
124,Kasumba,Miller,non-clinical,Associate Professor,Department of Biology,16,196
125,Okwera,Williams,clinical,Senior Lecturer,Department of Biology,13,193
126,Kabengele,Evans,non-clinical,Senior Lecturer,Department of Biology,17,197
127,Kasirye,Taylor,clinical,Lecturer,Department of Biology,14,194
128,Turyahikayo,King,non-clinical,Lecturer,Department of Biology,12,192
129,Tushabe,Davis,clinical,Assistant Lecturer,Department of Biology,18,198
130,Mutebi,Adams,non-clinical,Assistant Lecturer,Department of Biology,15,195
131,Kiryowa,Brown,clinical,Teaching assistant,Department of Biology,11,191
132,Tendo,Morris,non-clinical,Teaching assistant,Department of Biology,13,193
133,Kasumba,Johnson,clinical,Professor,Department of Mathematics,14,194
134,Amooti,Taylor,non-clinical,Professor,Department of Mathematics,18,198
135,Turyahikayo,Smith,clinical,Associate Professor,Department of Mathematics,17,197
136,Bashasha,King,non-clinical,Associate Professor,Department of Mathematics,15,195
137,Kabengele,Davis,clinical,Senior Lecturer,Department of Mathematics,20,200
138,Kato,Morris,non-clinical,Senior Lecturer,Department of Mathematics,12,192
139,Bashir,Brown,clinical,Lecturer,Department of Mathematics,18,198
140,Kasirye,Evans,non-clinical,Lecturer,Department of Mathematics,16,196
141,Kiryowa,Miller,clinical,Assistant Lecturer,Department of Mathematics,14,194
142,Turyahikayo,Johnson,non-clinical,Assistant Lecturer,Department of Mathematics,19,199
143,Musinguzi,Wilson,clinical,Teaching assistant,Department of Mathematics,13,193
144,Kabengele,Anderson,non-clinical,Teaching assistant,Department of Mathematics,12,80
